run,year,electricity
59,2035,195420.058214
59,2040,259754.73360200002
59,2045,324831.651039999
59,2050,395759.2527
60,2015,735.69095
60,2020,13963.070442211
60,2025,48810.946135908
60,2030,125006.036809686
60,2035,197036.08910199898
60,2040,264564.17737600004
60,2045,339281.708519999
60,2050,419786.3749
